path,type,size,parent_directory
E:\GB\A-B test\dz4-2.PNG,file,43581,E:\GB\A-B test
E:\GB\A-B test\dz4-3.PNG,file,72146,E:\GB\A-B test
E:\GB\A-B test\dz5.PNG,file,136547,E:\GB\A-B test
E:\GB\A-B test\gb_sem_ab_testing-master.zip,file,7451307,E:\GB\A-B test
E:\GB\A-B test\GeekBrains A_B тесты  Матстатистика урок 5.pptx,file,19693529,E:\GB\A-B test
E:\GB\A-B test\GeekBrains A_B тесты  урок 7.pptx,file,18428242,E:\GB\A-B test
E:\GB\A-B test\webinar_5.MP4,file,287270322,E:\GB\A-B test
E:\GB\A-B test\webinar_6.MP4,file,291035143,E:\GB\A-B test
E:\GB\A-B test\webinar_7.MP4,file,281663107,E:\GB\A-B test
E:\GB\A-B test\webinar_8.MP4,file,160350604,E:\GB\A-B test
E:\GB\A-B test\webinar_9.MP4,file,209540224,E:\GB\A-B test
E:\GB\A-B test\_GeekBrains A_B тесты  Матстатистика урок 6.pptx,file,19200324,E:\GB\A-B test
E:\GB\A-B test\почтовые ящики.PNG,file,49000,E:\GB\A-B test
E:\GB\A-B test\Презентация 6. Расчет длительности А_В-теста.pptx,file,15054465,E:\GB\A-B test
E:\GB\A-B test\Презентация 7. Нестандартные ситуации.pptx,file,15916970,E:\GB\A-B test
E:\GB\A-B test\Презентация 8. Применение статистических критериев на практике.pptx,file,15023210,E:\GB\A-B test
E:\GB\A-B test\репозиторий препода.zip,file,2329633,E:\GB\A-B test
E:\GB\A-B test\Семинар 5.pptx,file,15162350,E:\GB\A-B test
E:\GB\A-B test\Урок 5 A_B тестирование.docx,file,5400352,E:\GB\A-B test
E:\GB\A-B test\Урок 6 A_B тестирование.docx,file,358373,E:\GB\A-B test
E:\GB\A-B test\Урок 7 A_B тестирование.docx,file,4351487,E:\GB\A-B test
E:\GB\A-B test,directory,1368561510,E:\GB
E:\GB\A-B test\DZ3\1.PNG,file,95281,E:\GB\A-B test\DZ3
E:\GB\A-B test\DZ3\2.PNG,file,46376,E:\GB\A-B test\DZ3
E:\GB\A-B test\DZ3\3.PNG,file,50879,E:\GB\A-B test\DZ3
E:\GB\A-B test\DZ3\4.PNG,file,16179,E:\GB\A-B test\DZ3
E:\GB\A-B test\DZ3\dz3.docx,file,222401,E:\GB\A-B test\DZ3
E:\GB\A-B test\DZ3,directory,431116,E:\GB\A-B test
E:\GB\A-B test\DZ5\1.PNG,file,114463,E:\GB\A-B test\DZ5
E:\GB\A-B test\DZ5,directory,114463,E:\GB\A-B test
E:\GB\A-B test\gb_sem_ab_testing-master\.gitignore,file,1799,E:\GB\A-B test\gb_sem_ab_testing-master
E:\GB\A-B test\gb_sem_ab_testing-master\DZ7.md,file,5631,E:\GB\A-B test\gb_sem_ab_testing-master
E:\GB\A-B test\gb_sem_ab_testing-master\gb_sem_5.ipynb,file,4550289,E:\GB\A-B test\gb_sem_ab_testing-master
E:\GB\A-B test\gb_sem_ab_testing-master\gb_sem_6.ipynb,file,3024959,E:\GB\A-B test\gb_sem_ab_testing-master
E:\GB\A-B test\gb_sem_ab_testing-master\gb_sem_7.ipynb,file,14586,E:\GB\A-B test\gb_sem_ab_testing-master
